Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,0.1u,
C2,1206,1,10u,
C3,1206,1,10n,
"D1, D2, D3",1206,3,LED,
F1,1206,1,Polyfuse 500mA,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,JST_SM04B-SRSS-TB(LF)(SN),1,SM04B-SRSS-TB(LF)(SN),
"R1, R2, R3",1206,3,1k,
"R4, R5",1206,2,2.2k,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny1614-SS,
