Designator,Mid X,Mid Y,Rotation,Layer
C1,128.016,-97.536,0.0,top
C2,128.016,-100.33,0.0,top
C3,120.396,-82.55,180.0,top
D1,125.476,-75.184,270.0,top
D2,129.794,-75.184,270.0,top
D3,135.382,-75.184,90.0,top
F1,122.682,-97.536,180.0,top
J1,116.968,-90.984,270.0,top
J2,129.794,-104.902,90.0,top
J3,146.812,-84.098,90.0,top
R1,125.476,-80.7105,90.0,top
R2,129.794,-80.772,90.0,top
R3,135.382,-80.772,270.0,top
R4,142.24,-91.186,0.0,top
R5,147.574,-91.186,180.0,top
U1,126.173,-90.551,0.0,top
U2,135.317,-90.424,0.0,top
